LAT,LON,YEAR,DOY,PRECTOTCORR,TS,RH2M,GWETROOT
7.25,-5.75,2023,276,6.79,25.71,88.9,0.59
7.25,-5.25,2023,276,7,25.68,88.99,0.62
7.25,-4.75,2023,276,7.25,25.74,89.08,0.69
7.25,-4.25,2023,276,7.61,25.95,88.86,0.77
7.25,-3.75,2023,276,7.89,26.16,88.66,0.82
7.75,-7.25,2023,276,10.95,25.5,88.8,0.78
7.75,-6.75,2023,276,9.2,25.76,88.88,0.69
7.75,-6.25,2023,276,8.38,25.62,88.88,0.61
7.75,-5.75,2023,276,8.92,25.68,88.25,0.55
7.75,-5.25,2023,276,9.53,25.52,89.11,0.62
7.75,-4.75,2023,276,10.3,25.56,89.92,0.74
7.75,-4.25,2023,276,11.23,25.88,89.99,0.85
7.75,-3.75,2023,276,12.26,26.2,89.44,0.9
8.25,-7.25,2023,276,8.99,25.84,85.65,0.67
8.25,-6.75,2023,276,9.08,26.03,85.66,0.62
8.25,-6.25,2023,276,8.97,26.02,85.56,0.55
8.25,-5.75,2023,276,9.25,26.05,86.09,0.54
8.25,-5.25,2023,276,9.8,25.87,87.83,0.62
8.25,-4.75,2023,276,10.6,25.88,88.98,0.72
8.25,-4.25,2023,276,11.7,26.13,89.06,0.8
8.25,-3.75,2023,276,13.26,26.27,88.94,0.88
5.25,-7.25,2023,277,1.67,25.15,88.49,0.85
5.25,-6.75,2023,277,1.32,25.3,87.79,0.81
5.25,-6.25,2023,277,1,25.67,86.34,0.75
5.25,-5.75,2023,277,0.89,25.74,85.34,0.71
5.25,-5.25,2023,277,0.87,26.08,84.62,0.66
5.25,-4.75,2023,277,0.9,26.4,83.76,0.6
5.25,-4.25,2023,277,0.99,26.54,83.18,0.57
5.25,-3.75,2023,277,1.21,26.48,84.16,0.61
5.75,-7.25,2023,277,2.38,25.13,89.19,0.75
5.75,-6.75,2023,277,1.9,25.23,88.82,0.75
5.75,-6.25,2023,277,1.69,25.32,88.25,0.73
5.75,-5.75,2023,277,1.72,25.4,87.68,0.68
5.75,-5.25,2023,277,1.82,25.75,87.31,0.66
5.75,-4.75,2023,277,1.92,26.1,86.66,0.65
5.75,-4.25,2023,277,2.07,26.27,86.16,0.64
5.75,-3.75,2023,277,2.35,26.12,87.16,0.67
6.25,-7.25,2023,277,3.27,25.27,89.31,0.71
6.25,-6.75,2023,277,2.47,25.34,88.95,0.72
6.25,-6.25,2023,277,2.35,25.11,89,0.72
6.25,-5.75,2023,277,2.49,25.33,88.32,0.68
6.25,-5.25,2023,277,2.71,25.68,88.04,0.67
6.25,-4.75,2023,277,2.93,25.99,87.59,0.68
6.25,-4.25,2023,277,3.16,26.12,87.29,0.69
6.25,-3.75,2023,277,3.45,25.96,88.31,0.71
6.75,-7.25,2023,277,5.03,25.3,89.38,0.69
6.75,-6.75,2023,277,3.52,25.32,89.24,0.67
6.75,-6.25,2023,277,2.86,25.24,89.22,0.67
6.75,-5.75,2023,277,2.9,25.64,88.17,0.64
6.75,-5.25,2023,277,3.21,25.84,88.04,0.65
6.75,-4.75,2023,277,3.64,25.93,87.96,0.67
6.75,-4.25,2023,277,4.06,25.95,87.88,0.7
6.75,-3.75,2023,277,4.43,25.88,88.53,0.74
7.25,-7.25,2023,277,10.18,25.2,89.59,0.75
7.25,-6.75,2023,277,7.15,25.49,89.11,0.67
7.25,-6.25,2023,277,4.23,25.65,88.66,0.62
7.25,-5.75,2023,277,3.96,25.99,87.68,0.59
7.25,-5.25,2023,277,4.48,25.95,88,0.62
7.25,-4.75,2023,277,5.23,25.84,88.51,0.7
7.25,-4.25,2023,277,5.92,25.79,88.81,0.77
7.25,-3.75,2023,277,6.53,25.73,89.19,0.82
7.75,-7.25,2023,277,17.11,25.41,88.51,0.78
7.75,-6.75,2023,277,13.56,25.84,87.99,0.7
7.75,-6.25,2023,277,8.02,25.83,88.09,0.62
7.75,-5.75,2023,277,7.19,26.05,87.39,0.57
7.75,-5.25,2023,277,8.21,25.94,88.06,0.63
7.75,-4.75,2023,277,9.55,25.8,88.99,0.75
7.75,-4.25,2023,277,10.45,25.74,89.62,0.86
7.75,-3.75,2023,277,10.93,25.64,89.97,0.91
8.25,-7.25,2023,277,15.76,26.05,85.25,0.68
8.25,-6.75,2023,277,13.66,26.38,85.4,0.63
8.25,-6.25,2023,277,9.74,26.28,86,0.56
8.25,-5.75,2023,277,9.12,26.22,86.32,0.55
8.25,-5.25,2023,277,10.54,25.94,87.74,0.63
8.25,-4.75,2023,277,12.54,25.75,89.02,0.74
8.25,-4.25,2023,277,14.29,25.69,89.81,0.82
8.25,-3.75,2023,277,15.58,25.51,90.53,0.9
5.25,-7.25,2023,278,3.22,25.49,89.14,0.84
5.25,-6.75,2023,278,2.32,25.56,88.88,0.81
5.25,-6.25,2023,278,1.51,25.91,88.16,0.74
5.25,-5.75,2023,278,1.09,25.94,86.81,0.7
5.25,-5.25,2023,278,0.8,26.27,85.79,0.65
5.25,-4.75,2023,278,0.67,26.59,84.96,0.6
5.25,-4.25,2023,278,0.84,26.71,84.53,0.56
5.25,-3.75,2023,278,1.61,26.54,85.16,0.61
5.75,-7.25,2023,278,3.23,25.6,88.66,0.75
5.75,-6.75,2023,278,2.48,25.66,88.61,0.74
5.75,-6.25,2023,278,1.93,25.79,88.53,0.72
5.75,-5.75,2023,278,1.55,25.88,87.91,0.68
5.75,-5.25,2023,278,1.33,26.17,87.51,0.65
5.75,-4.75,2023,278,1.27,26.4,86.93,0.64
5.75,-4.25,2023,278,1.48,26.36,86.64,0.64
5.75,-3.75,2023,278,2.2,25.89,87.97,0.66
6.25,-7.25,2023,278,2.68,25.64,87.48,0.7
6.25,-6.75,2023,278,2.13,25.68,87.82,0.71
6.25,-6.25,2023,278,2.03,25.58,88.25,0.71
6.25,-5.75,2023,278,1.85,25.93,87.5,0.67
6.25,-5.25,2023,278,1.89,26.22,87.39,0.67
6.25,-4.75,2023,278,2.04,26.33,87.12,0.67
6.25,-4.25,2023,278,2.23,26.15,87.06,0.69
6.25,-3.75,2023,278,2.39,25.55,88.69,0.71
6.75,-7.25,2023,278,2.59,25.37,87.01,0.69
6.75,-6.75,2023,278,1.71,25.35,87.92,0.67
6.75,-6.25,2023,278,1.94,25.59,87.72,0.66
6.75,-5.75,2023,278,1.93,26.18,86.72,0.64
6.75,-5.25,2023,278,2.25,26.36,86.94,0.65
6.75,-4.75,2023,278,2.65,26.28,86.98,0.67
6.75,-4.25,2023,278,2.83,25.98,86.96,0.7
6.75,-3.75,2023,278,2.46,25.36,88.53,0.74
7.25,-7.25,2023,278,4.51,24.88,88.14,0.76
7.25,-6.75,2023,278,1.99,25.33,87.67,0.68
7.25,-6.25,2023,278,2.16,25.83,86.59,0.62
7.25,-5.75,2023,278,2.17,26.35,86.27,0.59
7.25,-5.25,2023,278,2.29,26.33,87.07,0.62
7.25,-4.75,2023,278,2.56,26.12,87.58,0.69
7.25,-4.25,2023,278,2.82,25.78,87.96,0.77
7.25,-3.75,2023,278,2.77,25.19,89.94,0.82
7.75,-7.25,2023,278,4.9,24.79,88.81,0.79
7.75,-6.75,2023,278,2.74,25.58,87.28,0.71
7.75,-6.25,2023,278,2.32,25.94,86.03,0.62
7.75,-5.75,2023,278,2.37,26.35,86.08,0.57
7.75,-5.25,2023,278,2.18,26.24,87.28,0.63
7.75,-4.75,2023,278,2.09,25.99,88.22,0.74
7.75,-4.25,2023,278,2.4,25.73,88.9,0.85
7.75,-3.75,2023,278,3.33,25.36,90.62,0.91
8.25,-7.25,2023,278,3.2,25.37,87.13,0.69
8.25,-6.75,2023,278,2.79,25.97,86.07,0.64
8.25,-6.25,2023,278,2.54,26.25,84.97,0.57
8.25,-5.75,2023,278,2.64,26.46,85.17,0.55
8.25,-5.25,2023,278,2.56,26.23,86.53,0.63
8.25,-4.75,2023,278,2.52,25.95,87.47,0.73
8.25,-4.25,2023,278,2.94,25.79,87.81,0.82
8.25,-3.75,2023,278,4.35,25.63,88.81,0.89
5.25,-7.25,2023,279,5.54,25.36,91.61,0.84
5.25,-6.75,2023,279,5.56,25.5,90.79,0.8
5.25,-6.25,2023,279,8.18,25.85,89.69,0.74
5.25,-5.75,2023,279,18.24,25.82,89.51,0.69
5.25,-5.25,2023,279,26.5,26.05,89.21,0.65
5.25,-4.75,2023,279,26.71,26.29,88.83,0.6
5.25,-4.25,2023,279,19.61,26.4,88.59,0.57
5.25,-3.75,2023,279,12.94,26.28,88.84,0.62
5.75,-7.25,2023,279,5.14,25.57,90.36,0.74
5.75,-6.75,2023,279,4.86,25.64,90.32,0.74
5.75,-6.25,2023,279,6.19,25.74,89.84,0.72
5.75,-5.75,2023,279,14.44,25.71,89.57,0.68
5.75,-5.25,2023,279,24.05,25.82,89.5,0.66
5.75,-4.75,2023,279,27.35,25.85,89.55,0.65
5.75,-4.25,2023,279,23.28,25.67,89.89,0.65
5.75,-3.75,2023,279,17.41,25.27,90.97,0.68
6.25,-7.25,2023,279,4.36,25.82,88.49,0.7
6.25,-6.75,2023,279,3.74,25.82,89.14,0.71
6.25,-6.25,2023,279,3.87,25.55,89.97,0.71
6.25,-5.75,2023,279,7.65,25.74,88.97,0.67
6.25,-5.25,2023,279,13.48,25.89,88.78,0.67
6.25,-4.75,2023,279,16.92,25.8,89.21,0.68
6.25,-4.25,2023,279,16.72,25.44,90.19,0.69
6.25,-3.75,2023,279,14.74,24.94,91.72,0.71
6.75,-7.25,2023,279,3.81,25.7,87.47,0.68
6.75,-6.75,2023,279,3.08,25.61,89.04,0.67
6.75,-6.25,2023,279,3.02,25.61,89.34,0.66
6.75,-5.75,2023,279,3.66,26.06,87.27,0.63
6.75,-5.25,2023,279,5.35,26.23,87.12,0.64
6.75,-4.75,2023,279,6.93,26.12,87.94,0.67
6.75,-4.25,2023,279,7.83,25.8,89.12,0.7
6.75,-3.75,2023,279,8.09,25.45,90.47,0.74
7.25,-7.25,2023,279,4.35,25.27,87.11,0.75
7.25,-6.75,2023,279,3.74,25.63,88.31,0.67
7.25,-6.25,2023,279,4.33,25.98,87.53,0.62
7.25,-5.75,2023,279,4.32,26.42,85.61,0.58
7.25,-5.25,2023,279,4.93,26.46,86.12,0.62
7.25,-4.75,2023,279,5.55,26.33,87.43,0.69
7.25,-4.25,2023,279,5.8,26.15,88.69,0.77
7.25,-3.75,2023,279,5.51,25.9,89.81,0.82
7.75,-7.25,2023,279,5.06,25.07,85.37,0.79
7.75,-6.75,2023,279,5.27,25.81,86.04,0.7
7.75,-6.25,2023,279,6.76,26.24,85.22,0.62
7.75,-5.75,2023,279,6.99,26.68,84.64,0.56
7.75,-5.25,2023,279,7.67,26.57,85.83,0.63
7.75,-4.75,2023,279,8.13,26.37,87.36,0.74
7.75,-4.25,2023,279,8,26.24,88.54,0.85
7.75,-3.75,2023,279,7.26,26.05,89.47,0.91
8.25,-7.25,2023,279,5.33,25.54,83.01,0.69
8.25,-6.75,2023,279,6.16,26.21,83.58,0.64
8.25,-6.25,2023,279,6.99,26.7,82.66,0.57
8.25,-5.75,2023,279,7.28,26.9,82.93,0.55
8.25,-5.25,2023,279,7.91,26.57,84.48,0.63
8.25,-4.75,2023,279,8.33,26.31,85.98,0.73
8.25,-4.25,2023,279,8.28,26.25,87.02,0.81
8.25,-3.75,2023,279,7.78,26.07,88.09,0.89
5.25,-7.25,2023,280,26.07,24.46,96.32,0.86
5.25,-6.75,2023,280,32.14,24.53,95.69,0.83
5.25,-6.25,2023,280,48.08,24.88,94.56,0.8
5.25,-5.75,2023,280,49.74,25.07,94.01,0.78
5.25,-5.25,2023,280,34.15,25.61,92.32,0.73
5.25,-4.75,2023,280,16.86,26.17,90.58,0.66
5.25,-4.25,2023,280,6.69,26.53,89.38,0.6
5.25,-3.75,2023,280,5.68,26.64,88.78,0.62
5.75,-7.25,2023,280,24.8,24.59,95.79,0.76
5.75,-6.75,2023,280,27.26,24.51,96.41,0.76
5.75,-6.25,2023,280,35.29,24.51,96.06,0.76
5.75,-5.75,2023,280,35.65,24.56,94.94,0.74
5.75,-5.25,2023,280,25.59,25.18,92.42,0.72
5.75,-4.75,2023,280,13.66,25.84,90.06,0.7
5.75,-4.25,2023,280,5.5,26.22,88.77,0.68
5.75,-3.75,2023,280,3.89,26.17,88.84,0.69
6.25,-7.25,2023,280,19.29,24.78,92.69,0.71
6.25,-6.75,2023,280,17.44,24.64,95.29,0.73
6.25,-6.25,2023,280,17.79,24.52,96.69,0.73
6.25,-5.75,2023,280,17.11,24.66,94.61,0.7
6.25,-5.25,2023,280,13.24,25.24,91.62,0.7
6.25,-4.75,2023,280,8.45,25.86,88.91,0.7
6.25,-4.25,2023,280,4.65,26.22,87.51,0.7
6.25,-3.75,2023,280,3.45,26.05,88.31,0.72
6.75,-7.25,2023,280,12.59,24.88,89.99,0.69
6.75,-6.75,2023,280,8.79,24.65,93.82,0.67
6.75,-6.25,2023,280,6.9,24.8,94.62,0.66
6.75,-5.75,2023,280,6.37,25.09,92.32,0.64
6.75,-5.25,2023,280,5.99,25.56,90.12,0.65
6.75,-4.75,2023,280,5.44,26.03,87.99,0.67
6.75,-4.25,2023,280,4.68,26.3,86.68,0.71
6.75,-3.75,2023,280,3.95,26.12,87.66,0.75
7.25,-7.25,2023,280,9.14,24.72,89.21,0.76
7.25,-6.75,2023,280,5.83,24.91,90.5,0.67
7.25,-6.25,2023,280,4.6,25.18,90.12,0.62
7.25,-5.75,2023,280,5.14,25.44,89.38,0.59
7.25,-5.25,2023,280,6.03,25.71,88.98,0.62
7.25,-4.75,2023,280,6.55,26.01,88.26,0.69
7.25,-4.25,2023,280,6.34,26.22,87.55,0.77
7.25,-3.75,2023,280,5.46,26.08,88.25,0.82
7.75,-7.25,2023,280,7.94,24.53,88.22,0.79
7.75,-6.75,2023,280,6.47,25.17,87.22,0.7
7.75,-6.25,2023,280,5.88,25.38,86.75,0.63
7.75,-5.75,2023,280,7.22,25.65,87.25,0.57
7.75,-5.25,2023,280,8.82,25.76,88.28,0.63
7.75,-4.75,2023,280,9.63,25.92,88.79,0.75
7.75,-4.25,2023,280,9.28,26.11,88.75,0.86
7.75,-3.75,2023,280,8.12,26.05,89.12,0.91
8.25,-7.25,2023,280,6.06,25,85.46,0.69
8.25,-6.75,2023,280,6.01,25.55,84.64,0.64
8.25,-6.25,2023,280,6.13,25.79,83.81,0.57
8.25,-5.75,2023,280,7.82,25.91,84.86,0.55
8.25,-5.25,2023,280,9.92,25.82,86.87,0.64
8.25,-4.75,2023,280,11.48,25.85,88.17,0.74
8.25,-4.25,2023,280,12.07,26.01,88.43,0.82
8.25,-3.75,2023,280,11.85,25.99,88.66,0.9
5.25,-7.25,2023,281,21.89,24.93,92.69,0.89
5.25,-6.75,2023,281,18.36,25.13,91.62,0.85
5.25,-6.25,2023,281,8.86,25.58,90.34,0.8
5.25,-5.75,2023,281,6.26,25.62,90.27,0.77
5.25,-5.25,2023,281,6.62,25.88,90.29,0.72
5.25,-4.75,2023,281,8.43,26.17,89.98,0.65
5.25,-4.25,2023,281,11.95,26.38,89.44,0.6
5.25,-3.75,2023,281,19.13,26.42,89.31,0.63
5.75,-7.25,2023,281,38.14,24.84,93.29,0.82
5.75,-6.75,2023,281,30.19,25.09,92.01,0.8
5.75,-6.25,2023,281,12.05,25.29,90.94,0.77
5.75,-5.75,2023,281,7.63,25.34,90.49,0.74
5.75,-5.25,2023,281,7.25,25.59,90.45,0.71
5.75,-4.75,2023,281,8.53,25.86,90.24,0.69
5.75,-4.25,2023,281,11.11,26.01,89.9,0.67
5.75,-3.75,2023,281,16.61,25.91,90.12,0.69
6.25,-7.25,2023,281,46.6,24.82,93.41,0.77
6.25,-6.75,2023,281,34.15,25.29,91.71,0.77
6.25,-6.25,2023,281,12.7,25.16,91.06,0.74
6.25,-5.75,2023,281,8.28,25.37,89.81,0.7
6.25,-5.25,2023,281,7.61,25.68,89.5,0.7
6.25,-4.75,2023,281,8.34,25.92,89.3,0.7
6.25,-4.25,2023,281,9.62,26,89.15,0.7
6.25,-3.75,2023,281,12.09,25.83,89.75,0.72
6.75,-7.25,2023,281,39.82,24.66,93.31,0.74
6.75,-6.75,2023,281,24.3,25.37,91.56,0.7
6.75,-6.25,2023,281,10.67,25.32,90.44,0.67
6.75,-5.75,2023,281,9.21,25.73,88.54,0.64
6.75,-5.25,2023,281,9.16,26.03,88.27,0.65
6.75,-4.75,2023,281,9.49,26.17,88.33,0.67
6.75,-4.25,2023,281,9.94,26.17,88.39,0.71
6.75,-3.75,2023,281,10.99,25.99,89.06,0.75
7.25,-7.25,2023,281,26.83,24.56,92.14,0.78
7.25,-6.75,2023,281,11.38,25.58,90.07,0.68
7.25,-6.25,2023,281,9.52,25.74,88.97,0.63
7.25,-5.75,2023,281,11.6,25.97,87.57,0.59
7.25,-5.25,2023,281,11.7,26.1,87.59,0.62
7.25,-4.75,2023,281,10.83,26.23,87.91,0.69
7.25,-4.25,2023,281,10.45,26.29,88.19,0.77
7.25,-3.75,2023,281,12.49,26.07,88.94,0.82
7.75,-7.25,2023,281,13.48,24.66,90.05,0.79
7.75,-6.75,2023,281,7.02,25.76,88.29,0.71
7.75,-6.25,2023,281,9.97,25.92,88.09,0.63
7.75,-5.75,2023,281,11.59,25.66,88.02,0.58
7.75,-5.25,2023,281,10.55,25.57,88.32,0.64
7.75,-4.75,2023,281,8.79,25.8,88.31,0.75
7.75,-4.25,2023,281,8.99,26.17,88.08,0.86
7.75,-3.75,2023,281,14.52,26.23,88.5,0.91
8.25,-7.25,2023,281,7.48,25.05,87.71,0.69
8.25,-6.75,2023,281,9.36,25.84,86.88,0.64
8.25,-6.25,2023,281,10.4,25.93,87.12,0.57
8.25,-5.75,2023,281,9.39,25.4,88.38,0.56
8.25,-5.25,2023,281,7.48,25.13,89.16,0.65
8.25,-4.75,2023,281,5.9,25.34,88.89,0.74
8.25,-4.25,2023,281,6.33,25.91,87.94,0.82
8.25,-3.75,2023,281,10.96,26.33,87.59,0.9
5.25,-7.25,2023,282,3.77,25.5,90.27,0.88
5.25,-6.75,2023,282,4.93,25.53,89.96,0.85
5.25,-6.25,2023,282,4.05,25.74,89.56,0.79
5.25,-5.75,2023,282,3.78,25.69,89.56,0.76
5.25,-5.25,2023,282,4.23,25.89,89.51,0.71
5.25,-4.75,2023,282,5.26,26.11,89.26,0.65
5.25,-4.25,2023,282,6.72,26.24,88.85,0.61
5.25,-3.75,2023,282,8.51,26.33,88.5,0.65
5.75,-7.25,2023,282,6.41,25.47,90.46,0.81
5.75,-6.75,2023,282,8.08,25.52,89.98,0.79
5.75,-6.25,2023,282,5.65,25.46,90,0.76
5.75,-5.75,2023,282,4.9,25.32,90.28,0.72
5.75,-5.25,2023,282,5.22,25.45,90.21,0.71
5.75,-4.75,2023,282,6.38,25.59,89.92,0.69
5.75,-4.25,2023,282,8.11,25.64,89.62,0.68
5.75,-3.75,2023,282,10.08,25.64,89.62,0.71
6.25,-7.25,2023,282,8.01,25.42,89.96,0.77
